product_id,product_name,price
548,Պաստա Կարբոնառա Սպագետտիով,1900
549,Պաստա Կվադրո Ֆորմաջի,1400
550,Պաստա Կվադրո Ֆորմաջի Պենեյով,1800
551,Պաստա Կվադրո Ֆորմաջի Սպագետտիով,1800
552,Պաստա Մարինառա (Ծովամթերքով),2800
553,Պաստա Մարինառա Սերուցքով ,2800
554,Պավլովա,800
555,Պելմենի,913.5
556,Պենե,400
557,Պեպեռոնի Հաստ Խմորով,2600
558,Պեպեռոնի Պիցցա ,2505.1
559,Պեպեռոնի Պիցցա կտոր,500
560,Պիռոգ Խնձորով,550
561,Պիռոգ Նարինջով,560
562,Պիցետտա Պրիմավեռա,550
563,Պիցցա Մարիանո ,2100
564,Պիցցա Մեքսիկական,2972.5
565,Պիցցա Պալերմո,2400
566,Պիցցա Պեպեռոնի,2750
567,Պիցցա Պրիմավեռա Մեծ,4100
568,Պիցցայի Տուփ Մեծ,200
569,Պիցցետա Իտալիանո,550
570,Պիցցետա Կեսար,550
571,Պիցցետա Կվադրո Ֆորմաջի,550
572,Պիցցետա Մարգարիտա,550
573,Պիցցետա Միլանո,550
574,Պիցցետա Չիքեն Դոմինո,550
575,Պիցցետա Պեպեռոնի ,550.44
576,Պլեճի Բրդուճ,550
577,Պոլիեթիլենային Մեծ Տոպրակ,40
578,Պոլիեթիլենային Միջին Տոպրակ,29.99
579,Պոլիեթիլենային Փոքր Տոպրակ,19.99
580,Պոնչիկ ,180
581,Պոնչիկ Շոկոլադե,200
582,Պրիմավեռա Հաստ Խմորով,2500
583,Պրիմավեռա Պիցցա ,2400
584,"Ջերմուկ 0,33լ",385
585,"Ջերմուկ 0,5լ",250
586,Ջերմուկ 1լ,400
587,Ջերմուկ Թիթեղյա 0.33,280
588,Ջուր ՀայԵմԵս 0.5լ,200
589,Ռամեն Հավով,1100
590,Ռանչ  Սոուս,200
591,Ռեժան ,1320
592,Ռոլ Ավոկադո,3500
593,Ռոլ Էբի ,4100
594,Ռոլ Կալիֆոռնիա Խեցգետնով,3900
595,Ռոլ Կալիֆոռնիա Սաղմոնով,5000
596,Ռոլ Կանադա,3900
597,Ռոլ Սպայսի Թունա,3700
598,Ռոլ Տեմպորա Ունագի,3600
599,Ռոլ Ֆիլադելֆիա,3900
600,Ռոլլ Յուղաձկով և Տրյուֆելի Պաստայով,3200
601,Ռոստի ,834.63
602,Ռոստի  Լանչի,500
603,Ռուկոլայով և Սմբուկով Աղցան,3190
604,Սալյամի Գյուղական Կարտոֆիլով ,2310
605,Սարդելկա,350
606,Սարդելկա Լանչի,300
607,Սարդելկայով Ձվածեղ,650
608,Սեթ 1 (32),9000
609,Սեթ 2 (40),14900
610,Սեթ 4 (24),10900
611,Սեթ 7 (80),29000
612,Սենդվիչ Խոզի Ֆիլեով,900
